component,singular_value,label_correlation,abs_label_correlation,selected,model_id,layer
8,117.87184032803866,0.07802139601122304,0.07802139601122304,False,Qwen/Qwen3.5-9B,24
9,107.5319232277245,0.03570080732034054,0.03570080732034054,False,Qwen/Qwen3.5-9B,24
10,102.67899905906853,0.06249647469716262,0.06249647469716262,False,Qwen/Qwen3.5-9B,24
11,102.11012514206503,-0.002700231083820067,0.002700231083820067,False,Qwen/Qwen3.5-9B,24
12,99.99252874354363,-0.0020661930049200735,0.0020661930049200735,False,Qwen/Qwen3.5-9B,24
13,92.9377924996212,0.04948708501331684,0.04948708501331684,False,Qwen/Qwen3.5-9B,24
14,89.16688753597958,-0.02265846425643531,0.02265846425643531,False,Qwen/Qwen3.5-9B,24
15,86.46996975928231,-0.04122494846372228,0.04122494846372228,False,Qwen/Qwen3.5-9B,24
0,385.21715041422533,-0.11358649213149848,0.11358649213149848,True,Qwen/Qwen3.5-9B,31
1,344.8187899383345,0.07888464329526663,0.07888464329526663,False,Qwen/Qwen3.5-9B,31
2,338.57673915356315,0.08394323274892293,0.08394323274892293,False,Qwen/Qwen3.5-9B,31
3,285.5535510315722,0.06145322085995467,0.06145322085995467,False,Qwen/Qwen3.5-9B,31
4,225.01915003629105,0.003587711057481764,0.003587711057481764,False,Qwen/Qwen3.5-9B,31
5,217.52395484824146,0.052909909784250905,0.052909909784250905,False,Qwen/Qwen3.5-9B,31
6,199.26027813541901,0.025586232861108324,0.025586232861108324,False,Qwen/Qwen3.5-9B,31
7,190.74533390648338,0.04628653161764658,0.04628653161764658,False,Qwen/Qwen3.5-9B,31
8,180.44810573532095,-0.0005104639429080153,0.0005104639429080153,False,Qwen/Qwen3.5-9B,31
9,177.21736775264404,0.01588446339471026,0.01588446339471026,False,Qwen/Qwen3.5-9B,31
10,169.05554838528616,0.047893981381553645,0.047893981381553645,False,Qwen/Qwen3.5-9B,31
11,160.57348251919072,-0.14880091553026562,0.14880091553026562,True,Qwen/Qwen3.5-9B,31
12,157.32756643460286,-0.09478442352603486,0.09478442352603486,False,Qwen/Qwen3.5-9B,31
13,155.66942214907343,-0.030418331547473768,0.030418331547473768,False,Qwen/Qwen3.5-9B,31
14,153.7893115262812,-0.009885741083083257,0.009885741083083257,False,Qwen/Qwen3.5-9B,31
15,146.88990372057506,0.0128298777357426,0.0128298777357426,False,Qwen/Qwen3.5-9B,31
