model_id,conflict_type_idx,bootstrap_idx,space,overlap_with_reference
Qwen/Qwen3.5-4B,5,15,raw,0.7391546144945793
Qwen/Qwen3.5-4B,5,15,label_residualized,0.691289583839185
Qwen/Qwen3.5-4B,5,16,raw,0.47926677717140026
Qwen/Qwen3.5-4B,5,16,label_residualized,0.4598228463509261
Qwen/Qwen3.5-4B,5,17,raw,0.7551668567618445
Qwen/Qwen3.5-4B,5,17,label_residualized,0.6220596334120323
Qwen/Qwen3.5-4B,5,18,raw,0.4836341347425871
Qwen/Qwen3.5-4B,5,18,label_residualized,0.40737823713250687
Qwen/Qwen3.5-4B,5,19,raw,0.6953524182502273
Qwen/Qwen3.5-4B,5,19,label_residualized,0.5417265264185355
Qwen/Qwen3.5-4B,6,0,raw,0.932114650205925
Qwen/Qwen3.5-4B,6,0,label_residualized,0.8888763470631282
Qwen/Qwen3.5-4B,6,1,raw,0.9290917918759156
Qwen/Qwen3.5-4B,6,1,label_residualized,0.9534619948509551
Qwen/Qwen3.5-4B,6,2,raw,0.9499980291361148
Qwen/Qwen3.5-4B,6,2,label_residualized,0.9542396429403355
Qwen/Qwen3.5-4B,6,3,raw,0.7214385908839906
Qwen/Qwen3.5-4B,6,3,label_residualized,0.8484398019870105
Qwen/Qwen3.5-4B,6,4,raw,0.9387255124307405
Qwen/Qwen3.5-4B,6,4,label_residualized,0.8359444155836699
Qwen/Qwen3.5-4B,6,5,raw,0.9451250526717814
Qwen/Qwen3.5-4B,6,5,label_residualized,0.8977298478955347
Qwen/Qwen3.5-4B,6,6,raw,0.8418074186961382
Qwen/Qwen3.5-4B,6,6,label_residualized,0.8170387422108067
Qwen/Qwen3.5-4B,6,7,raw,0.8248389921322925
Qwen/Qwen3.5-4B,6,7,label_residualized,0.7381047309336644
Qwen/Qwen3.5-4B,6,8,raw,0.6189107954768283
Qwen/Qwen3.5-4B,6,8,label_residualized,0.5851500986280409
Qwen/Qwen3.5-4B,6,9,raw,0.8802893563325926
Qwen/Qwen3.5-4B,6,9,label_residualized,0.8200830287001332
Qwen/Qwen3.5-4B,6,10,raw,0.9502280302485644
Qwen/Qwen3.5-4B,6,10,label_residualized,0.9362133125622807
Qwen/Qwen3.5-4B,6,11,raw,0.8296059114148815
Qwen/Qwen3.5-4B,6,11,label_residualized,0.696170927723343
Qwen/Qwen3.5-4B,6,12,raw,0.4542685657515232
Qwen/Qwen3.5-4B,6,12,label_residualized,0.6661722311000133
Qwen/Qwen3.5-4B,6,13,raw,0.8975583879553966
Qwen/Qwen3.5-4B,6,13,label_residualized,0.8813423243351273
Qwen/Qwen3.5-4B,6,14,raw,0.8925409939492078
Qwen/Qwen3.5-4B,6,14,label_residualized,0.9118734505721974
Qwen/Qwen3.5-4B,6,15,raw,0.881970053463007
Qwen/Qwen3.5-4B,6,15,label_residualized,0.8747405208103929
Qwen/Qwen3.5-4B,6,16,raw,0.8481824790979338
Qwen/Qwen3.5-4B,6,16,label_residualized,0.8006061478886718
Qwen/Qwen3.5-4B,6,17,raw,0.8879117792227385
Qwen/Qwen3.5-4B,6,17,label_residualized,0.8222156872675134
Qwen/Qwen3.5-4B,6,18,raw,0.8480386878513233
Qwen/Qwen3.5-4B,6,18,label_residualized,0.856990562111297
Qwen/Qwen3.5-4B,6,19,raw,0.9555497988032535
Qwen/Qwen3.5-4B,6,19,label_residualized,0.9232433044255749
Qwen/Qwen3.5-4B,7,0,raw,0.8089324079830391
Qwen/Qwen3.5-4B,7,0,label_residualized,0.8631201022345922
Qwen/Qwen3.5-4B,7,1,raw,0.8776904966371673
Qwen/Qwen3.5-4B,7,1,label_residualized,0.8789768628200315
Qwen/Qwen3.5-4B,7,2,raw,0.9271916919341431
Qwen/Qwen3.5-4B,7,2,label_residualized,0.9446583797684436
Qwen/Qwen3.5-4B,7,3,raw,0.6623115972346914
Qwen/Qwen3.5-4B,7,3,label_residualized,0.6755867655929971
Qwen/Qwen3.5-4B,7,4,raw,0.9270111011197548
Qwen/Qwen3.5-4B,7,4,label_residualized,0.9320504220639154
Qwen/Qwen3.5-4B,7,5,raw,0.8887505528160442
Qwen/Qwen3.5-4B,7,5,label_residualized,0.8976163947535634
Qwen/Qwen3.5-4B,7,6,raw,0.9050621585769292
Qwen/Qwen3.5-4B,7,6,label_residualized,0.922943394538002
Qwen/Qwen3.5-4B,7,7,raw,0.6873029289240459
Qwen/Qwen3.5-4B,7,7,label_residualized,0.6892349560770104
Qwen/Qwen3.5-4B,7,8,raw,0.6216711199397829
Qwen/Qwen3.5-4B,7,8,label_residualized,0.6963174384351424
Qwen/Qwen3.5-4B,7,9,raw,0.8819505506225391
Qwen/Qwen3.5-4B,7,9,label_residualized,0.8894499229780919
Qwen/Qwen3.5-4B,7,10,raw,0.9478976068954232
Qwen/Qwen3.5-4B,7,10,label_residualized,0.9532588203209694
Qwen/Qwen3.5-4B,7,11,raw,0.9361268944959202
Qwen/Qwen3.5-4B,7,11,label_residualized,0.9349792207943612
Qwen/Qwen3.5-4B,7,12,raw,0.9457481631198204
Qwen/Qwen3.5-4B,7,12,label_residualized,0.9469388776013461
Qwen/Qwen3.5-4B,7,13,raw,0.872819256640301
Qwen/Qwen3.5-4B,7,13,label_residualized,0.8900188941320958
Qwen/Qwen3.5-4B,7,14,raw,0.6239469726114198
Qwen/Qwen3.5-4B,7,14,label_residualized,0.6467925316770848
Qwen/Qwen3.5-4B,7,15,raw,0.5474558962736966
Qwen/Qwen3.5-4B,7,15,label_residualized,0.5633549741241468
Qwen/Qwen3.5-4B,7,16,raw,0.8363089189391444
Qwen/Qwen3.5-4B,7,16,label_residualized,0.827837529711043
Qwen/Qwen3.5-4B,7,17,raw,0.603361308561376
Qwen/Qwen3.5-4B,7,17,label_residualized,0.6208512491944085
Qwen/Qwen3.5-4B,7,18,raw,0.8795742681747493
Qwen/Qwen3.5-4B,7,18,label_residualized,0.8801275143157925
Qwen/Qwen3.5-4B,7,19,raw,0.9116371152663305
Qwen/Qwen3.5-4B,7,19,label_residualized,0.9394650130510183
Qwen/Qwen3.5-4B,8,0,raw,0.4046708261598145
Qwen/Qwen3.5-4B,8,0,label_residualized,0.37203008589571684
Qwen/Qwen3.5-4B,8,1,raw,0.5192002546934856
Qwen/Qwen3.5-4B,8,1,label_residualized,0.4337523434281041
Qwen/Qwen3.5-4B,8,2,raw,0.7785168624725453
Qwen/Qwen3.5-4B,8,2,label_residualized,0.7518480438341232
Qwen/Qwen3.5-4B,8,3,raw,0.8494801584104206
Qwen/Qwen3.5-4B,8,3,label_residualized,0.848855343835828
Qwen/Qwen3.5-4B,8,4,raw,0.8202653244508441
Qwen/Qwen3.5-4B,8,4,label_residualized,0.7231264984671439
Qwen/Qwen3.5-4B,8,5,raw,0.858073819250331
Qwen/Qwen3.5-4B,8,5,label_residualized,0.5644897517169757
Qwen/Qwen3.5-4B,8,6,raw,0.3241129091253759
Qwen/Qwen3.5-4B,8,6,label_residualized,0.328152818043388
Qwen/Qwen3.5-4B,8,7,raw,0.49331855190035545
Qwen/Qwen3.5-4B,8,7,label_residualized,0.4796536470592255
Qwen/Qwen3.5-4B,8,8,raw,0.7144002401354108
Qwen/Qwen3.5-4B,8,8,label_residualized,0.5887140150196333
Qwen/Qwen3.5-4B,8,9,raw,0.7922151998295015
Qwen/Qwen3.5-4B,8,9,label_residualized,0.7868590750131899
Qwen/Qwen3.5-4B,8,10,raw,0.42710869428707043
Qwen/Qwen3.5-4B,8,10,label_residualized,0.38122694909607374
Qwen/Qwen3.5-4B,8,11,raw,0.860447419183743
Qwen/Qwen3.5-4B,8,11,label_residualized,0.8214070373109879
Qwen/Qwen3.5-4B,8,12,raw,0.8314937775753231
Qwen/Qwen3.5-4B,8,12,label_residualized,0.7568469447039203
Qwen/Qwen3.5-4B,8,13,raw,0.4571911348775214
Qwen/Qwen3.5-4B,8,13,label_residualized,0.38052510305754955
Qwen/Qwen3.5-4B,8,14,raw,0.9883296894140103
Qwen/Qwen3.5-4B,8,14,label_residualized,0.9683293325624097
Qwen/Qwen3.5-4B,8,15,raw,0.8571637106113439
Qwen/Qwen3.5-4B,8,15,label_residualized,0.8677189965915454
Qwen/Qwen3.5-4B,8,16,raw,0.4020799393092162
Qwen/Qwen3.5-4B,8,16,label_residualized,0.33793885120656414
Qwen/Qwen3.5-4B,8,17,raw,0.693894263647842
Qwen/Qwen3.5-4B,8,17,label_residualized,0.5153246533980348
Qwen/Qwen3.5-4B,8,18,raw,0.8813481213623704
Qwen/Qwen3.5-4B,8,18,label_residualized,0.8481059997800542
Qwen/Qwen3.5-4B,8,19,raw,0.7825213670085227
Qwen/Qwen3.5-4B,8,19,label_residualized,0.7890931423123053
Qwen/Qwen3.5-4B,9,0,raw,0.5046869787425252
Qwen/Qwen3.5-4B,9,0,label_residualized,0.7064050883079527
Qwen/Qwen3.5-4B,9,1,raw,0.708958228577096
Qwen/Qwen3.5-4B,9,1,label_residualized,0.4586207346816916
Qwen/Qwen3.5-4B,9,2,raw,0.9124527820952233
Qwen/Qwen3.5-4B,9,2,label_residualized,0.8973240921227037
Qwen/Qwen3.5-4B,9,3,raw,0.7760324254390149
Qwen/Qwen3.5-4B,9,3,label_residualized,0.592849177004405
Qwen/Qwen3.5-4B,9,4,raw,0.6790853806435004
Qwen/Qwen3.5-4B,9,4,label_residualized,0.4100768125090182
Qwen/Qwen3.5-4B,9,5,raw,0.8519521471373184
Qwen/Qwen3.5-4B,9,5,label_residualized,0.8011819646609197
Qwen/Qwen3.5-4B,9,6,raw,0.6621303325561676
Qwen/Qwen3.5-4B,9,6,label_residualized,0.5139204047274605
Qwen/Qwen3.5-4B,9,7,raw,0.5830199184228732
Qwen/Qwen3.5-4B,9,7,label_residualized,0.6202170321139189
Qwen/Qwen3.5-4B,9,8,raw,0.6130665987129897
Qwen/Qwen3.5-4B,9,8,label_residualized,0.44523477363565034
Qwen/Qwen3.5-4B,9,9,raw,0.5035111750213769
Qwen/Qwen3.5-4B,9,9,label_residualized,0.39418859513514143
Qwen/Qwen3.5-4B,9,10,raw,0.7851130547814924
Qwen/Qwen3.5-4B,9,10,label_residualized,0.5816859527854433
Qwen/Qwen3.5-4B,9,11,raw,0.7076820022746039
Qwen/Qwen3.5-4B,9,11,label_residualized,0.4571270314736028
Qwen/Qwen3.5-4B,9,12,raw,0.44430480980893744
Qwen/Qwen3.5-4B,9,12,label_residualized,0.40947424613411204
Qwen/Qwen3.5-4B,9,13,raw,0.79259634205374
Qwen/Qwen3.5-4B,9,13,label_residualized,0.44856421246664246
Qwen/Qwen3.5-4B,9,14,raw,0.7103124115079051
Qwen/Qwen3.5-4B,9,14,label_residualized,0.45167254860658346
Qwen/Qwen3.5-4B,9,15,raw,0.533999074698819
Qwen/Qwen3.5-4B,9,15,label_residualized,0.4169770491855408
