model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-4B,8,4,5,label_residualized,0.37602572030492837,0.84841150802341,0.17958105040148295,31.96068569734699,79.65464186576295,55.80766378155497,1
Qwen/Qwen3.5-4B,8,4,6,raw,0.06453839368323983,0.35628170655107844,0.04626157091507907,69.12798232507681,87.34846088443022,78.23822160475352,0
Qwen/Qwen3.5-4B,8,4,6,label_residualized,0.3117257184515011,0.7874268671775836,0.05839833687613269,38.05430574156249,86.65211700686909,62.35321137421579,1
Qwen/Qwen3.5-4B,8,4,7,raw,0.08046688195852555,0.3815584266430537,0.12388273073648527,67.56975135365255,82.88376052306884,75.2267559383607,0
Qwen/Qwen3.5-4B,8,4,7,label_residualized,0.1153705566074046,0.4638973763481871,0.12466088974525107,62.36111454382669,82.83882697964454,72.59997076173562,0
Qwen/Qwen3.5-4B,8,4,8,raw,0.3287013327096013,0.7863226805659894,0.19773544812885616,38.156823939235764,78.59543465065772,58.37612929494674,1
Qwen/Qwen3.5-4B,8,4,8,label_residualized,0.35595822368446334,0.8042814414951136,0.25504472203021344,36.459082873883375,75.2237648434871,55.84142385868524,1
Qwen/Qwen3.5-4B,8,4,9,raw,0.37727647005681564,0.7597083873228726,0.42118417152703097,40.561503299628825,65.0906282175829,52.826065758605864,1
Qwen/Qwen3.5-4B,8,4,9,label_residualized,0.3958621479898386,0.7896686378169336,0.4100582134624616,37.84544403938308,65.79150826782774,51.81847615360541,1
Qwen/Qwen3.5-4B,8,5,6,raw,0.06728492581717832,0.36218163792062785,0.05826073109297422,68.76576153335246,86.66001468420443,77.71288810877844,0
Qwen/Qwen3.5-4B,8,5,6,label_residualized,0.34170556999385737,0.8221270904150904,0.08670748060768818,34.70170597714542,85.02578112905168,59.86374355309855,1
Qwen/Qwen3.5-4B,8,5,7,raw,0.0418415923010697,0.28366658723281385,0.05671377160644337,73.52083942842862,86.74879576537165,80.13481759690013,0
Qwen/Qwen3.5-4B,8,5,7,label_residualized,0.060352439997452136,0.3450063499235829,0.040932853642404635,69.81781660981854,87.65406482978982,78.73594071980418,0
