conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
1,24,100,5.934165686066528e-05,0.42,-0.0007489195918028252,0.42,-0.05455445250929961,0.42
1,25,100,0.00016094549105315936,0.45,-0.00042118138176298615,0.43,-0.047788708812964424,0.45
1,26,100,0.0005903261620112032,0.44,-0.00013125851043913007,0.43,-0.03747812702938901,0.45
1,27,100,-0.0003480713332863228,0.42,-0.0014563322955945435,0.39,-0.12825922679611354,0.42
1,28,100,-6.557525285344479e-05,0.39,-0.0008902618075410629,0.39,-0.10042519049008147,0.38
1,29,100,-0.00013802912826749059,0.39,-0.0007831522599502683,0.39,-0.11124335069257976,0.39
1,30,100,5.7427181141133097e-05,0.43,-0.0004772702438742815,0.42,-0.04920163122738254,0.43
1,31,100,-0.0005469817393320697,0.46,-0.0006087862394558774,0.46,-0.07525302441413602,0.46
2,0,100,9.593618026864092e-06,0.62,0.007262916490801979,0.63,0.0019976913068842843,0.69
2,1,100,1.790228854144371e-05,0.54,0.0038884112149884208,0.55,0.002078865301060217,0.52
2,2,100,4.3540117432072645e-05,0.48,0.004245460799731213,0.52,0.003923746609805657,0.53
2,3,100,8.741727769049468e-05,0.49,0.0022615667896329138,0.5,0.0041006349551707,0.49
2,4,100,4.598803319093125e-05,0.5,7.442449447329635e-05,0.52,0.003946323124745521,0.51
2,5,100,9.012782453693413e-06,0.5,-0.0004727748969248746,0.5,0.002813367790098018,0.5
2,6,100,7.12765497345813e-05,0.49,0.0009230914288319325,0.49,0.007092715740343103,0.5
2,7,100,-0.0004625602624246183,0.42,-0.0071508957039364,0.45,-0.023847652211030832,0.43
2,8,100,-0.00044290178742125043,0.45,-0.0066258240965037666,0.42,-0.021935129765880683,0.46
2,9,100,-0.0003017114542430288,0.45,-0.0050830894659933444,0.46,-0.017105907585132203,0.45
2,10,100,-0.00015751968477588309,0.5,-0.003457017508364023,0.49,-0.00880535148384469,0.51
2,11,100,-0.0010234375763252235,0.33,-0.008496807112288394,0.34,-0.07109043072414586,0.35
2,12,100,-0.0008879034069917591,0.41,-0.006918113939363596,0.39,-0.061578019201445254,0.41
2,13,100,-0.0006909155606915218,0.42,-0.005319169880728876,0.38,-0.045345297001351786,0.42
2,14,100,-0.00024595126215973484,0.53,-0.002357599386412719,0.5,-0.006540062948983306,0.51
2,15,100,-0.0030493728465291027,0.42,-0.012724846427935053,0.42,-0.11690771225858362,0.42
2,16,100,-0.0024294298223945542,0.46,-0.007992521467227337,0.47,-0.07495632788208721,0.47
2,17,100,-0.0013008662922704207,0.44,-0.002489518073196051,0.48,-0.03438633843673842,0.45
2,18,100,-0.00048717404471010914,0.5,0.0016556771318297202,0.51,-0.02245984321824322,0.49
