fold,n_train,n_test,accuracy,balanced_accuracy,roc_auc,feature_group,classifier_model
3,626,156,0.6410256410256411,0.6394736842105263,0.7202302631578947,projection,rbf_svm
4,626,156,0.6730769230769231,0.6707236842105263,0.7279605263157894,projection,rbf_svm
5,626,156,0.6089743589743589,0.608499095840868,0.651980930461943,projection,rbf_svm
1,625,157,0.7197452229299363,0.7186688311688312,0.7123376623376624,projection,random_forest
2,625,157,0.643312101910828,0.6424512987012987,0.6256493506493506,projection,random_forest
3,626,156,0.6730769230769231,0.6720394736842106,0.7213815789473683,projection,random_forest
4,626,156,0.6538461538461539,0.6526315789473685,0.7327302631578948,projection,random_forest
5,626,156,0.6089743589743589,0.6078415255630445,0.642774946572415,projection,random_forest
1,625,157,0.7070063694267515,0.7056818181818182,0.700487012987013,projection,extra_trees
2,625,157,0.6305732484076433,0.6297077922077923,0.6501623376623377,projection,extra_trees
3,626,156,0.6602564102564102,0.6588815789473684,0.7365131578947368,projection,extra_trees
4,626,156,0.6858974358974359,0.6845394736842105,0.7156250000000001,projection,extra_trees
5,626,156,0.5769230769230769,0.5760315633733355,0.6357060660858129,projection,extra_trees
1,625,157,0.6560509554140127,0.6549512987012986,0.703409090909091,projection,gradient_boosting
2,625,157,0.5923566878980892,0.5917207792207793,0.6118506493506493,projection,gradient_boosting
3,626,156,0.6025641025641025,0.6013157894736842,0.6467105263157895,projection,gradient_boosting
4,626,156,0.6602564102564102,0.6588815789473684,0.719078947368421,projection,gradient_boosting
5,626,156,0.6282051282051282,0.6276508301824757,0.6569127075456189,projection,gradient_boosting
1,625,157,0.6496815286624203,0.6487012987012987,0.6967532467532467,normalized_projection,logistic_l2
2,625,157,0.6114649681528662,0.6114448051948052,0.6326298701298702,normalized_projection,logistic_l2
3,626,156,0.6474358974358975,0.6480263157894737,0.6934210526315789,normalized_projection,logistic_l2
4,626,156,0.7051282051282052,0.705592105263158,0.7429276315789474,normalized_projection,logistic_l2
5,626,156,0.5769230769230769,0.5770179187900707,0.6232122308071675,normalized_projection,logistic_l2
1,625,157,0.6687898089171974,0.6676948051948052,0.6909090909090909,normalized_projection,linear_svm
2,625,157,0.6242038216560509,0.6241883116883117,0.6362012987012987,normalized_projection,linear_svm
3,626,156,0.6602564102564102,0.6611842105263157,0.6939144736842104,normalized_projection,linear_svm
4,626,156,0.717948717948718,0.7184210526315788,0.745888157894737,normalized_projection,linear_svm
5,626,156,0.5641025641025641,0.5643596909419695,0.6307742890021371,normalized_projection,linear_svm
1,625,157,0.5923566878980892,0.5926948051948051,0.6183441558441558,normalized_projection,rbf_svm
2,625,157,0.5987261146496815,0.5999188311688312,0.624025974025974,normalized_projection,rbf_svm
3,626,156,0.6346153846153846,0.6345394736842105,0.6847039473684211,normalized_projection,rbf_svm
4,626,156,0.6474358974358975,0.6480263157894737,0.7236842105263158,normalized_projection,rbf_svm
5,626,156,0.5705128205128205,0.57068880486602,0.5972382048331416,normalized_projection,rbf_svm
1,625,157,0.554140127388535,0.5551948051948052,0.5826298701298701,normalized_projection,random_forest
2,625,157,0.5732484076433121,0.5744318181818182,0.575974025974026,normalized_projection,random_forest
3,626,156,0.6089743589743589,0.6092105263157894,0.6427631578947368,normalized_projection,random_forest
4,626,156,0.6217948717948718,0.6220394736842105,0.6876644736842106,normalized_projection,random_forest
5,626,156,0.5192307692307693,0.5180831826401446,0.5311523919118856,normalized_projection,random_forest
1,625,157,0.5605095541401274,0.5612012987012986,0.5905844155844155,normalized_projection,extra_trees
2,625,157,0.5923566878980892,0.5931818181818183,0.586038961038961,normalized_projection,extra_trees
3,626,156,0.6025641025641025,0.6023026315789474,0.6585526315789474,normalized_projection,extra_trees
4,626,156,0.6410256410256411,0.6404605263157894,0.7052631578947368,normalized_projection,extra_trees
5,626,156,0.5384615384615384,0.5375637021206642,0.5508795002465887,normalized_projection,extra_trees
1,625,157,0.5796178343949044,0.5799512987012987,0.5829545454545455,normalized_projection,gradient_boosting
2,625,157,0.5668789808917197,0.5669642857142857,0.5926948051948051,normalized_projection,gradient_boosting
3,626,156,0.6474358974358975,0.6463815789473684,0.6743421052631579,normalized_projection,gradient_boosting
4,626,156,0.6089743589743589,0.6085526315789473,0.6384868421052632,normalized_projection,gradient_boosting
5,626,156,0.5192307692307693,0.518905145487424,0.5482492191352951,normalized_projection,gradient_boosting
1,625,157,0.6942675159235668,0.6939123376623377,0.7310064935064935,all_geometry_no_delta,logistic_l2
2,625,157,0.6878980891719745,0.6871753246753247,0.705357142857143,all_geometry_no_delta,logistic_l2
3,626,156,0.6474358974358975,0.6457236842105263,0.7332236842105263,all_geometry_no_delta,logistic_l2
4,626,156,0.6987179487179487,0.6986842105263158,0.7508223684210527,all_geometry_no_delta,logistic_l2
5,626,156,0.6410256410256411,0.6406378431694888,0.6523097156008548,all_geometry_no_delta,logistic_l2
1,625,157,0.7133757961783439,0.7131493506493507,0.7201298701298702,all_geometry_no_delta,linear_svm
2,625,157,0.6687898089171974,0.6686688311688311,0.6939935064935066,all_geometry_no_delta,linear_svm
3,626,156,0.6346153846153846,0.6332236842105263,0.7118421052631579,all_geometry_no_delta,linear_svm
4,626,156,0.6602564102564102,0.6595394736842105,0.7144736842105263,all_geometry_no_delta,linear_svm
5,626,156,0.6410256410256411,0.6406378431694888,0.6551043892816045,all_geometry_no_delta,linear_svm
1,625,157,0.6624203821656051,0.6624188311688312,0.7290584415584416,all_geometry_no_delta,rbf_svm
2,625,157,0.6496815286624203,0.6496753246753246,0.6896103896103896,all_geometry_no_delta,rbf_svm
3,626,156,0.6666666666666666,0.6648026315789474,0.7467105263157896,all_geometry_no_delta,rbf_svm
4,626,156,0.6666666666666666,0.6638157894736842,0.7527960526315789,all_geometry_no_delta,rbf_svm
5,626,156,0.6282051282051282,0.6278152227519316,0.6953805687982904,all_geometry_no_delta,rbf_svm
1,625,157,0.6242038216560509,0.6246753246753247,0.7105519480519479,all_geometry_no_delta,random_forest
2,625,157,0.6624203821656051,0.6626623376623377,0.7198051948051948,all_geometry_no_delta,random_forest
3,626,156,0.6730769230769231,0.6726973684210527,0.7271381578947368,all_geometry_no_delta,random_forest
4,626,156,0.6666666666666666,0.6644736842105263,0.7425986842105263,all_geometry_no_delta,random_forest
5,626,156,0.6410256410256411,0.6406378431694888,0.7080387966463916,all_geometry_no_delta,random_forest
1,625,157,0.6624203821656051,0.6619318181818181,0.7219155844155845,all_geometry_no_delta,extra_trees
