layer,n,mean_cosine_delta,median_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,median_centered_cosine_delta,frac_centered_cosine_new,mean_projection,median_projection,frac_projection_new,mean_normalized_projection
20,864,0.0016065797873652773,0.0002781771831662505,0.5266203703703703,0.005728529677141487,0.0010544976687139052,0.5196759259259259,0.2350615806611133,0.11514124065443507,0.5127314814814815,0.04068924245474551
21,864,0.002200936532127501,0.0001684722046846332,0.5196759259259259,0.007490594645543409,0.0009173498248483125,0.5254629629629629,0.3474787156723429,0.14020536159183422,0.5185185185185185,0.04914914861390347
22,864,0.0006629959203864554,-5.204428398858374e-05,0.4965277777777778,0.004373226472183915,0.00018765010290183737,0.5034722222222222,0.2790956053439795,-0.06423694238076406,0.49537037037037035,0.036984090771120255
23,864,0.0007409930970534306,-2.878501957181978e-06,0.5,0.002522188861186453,-0.00015028504632152995,0.4930555555555556,0.26016076363999874,0.010605760915444774,0.5011574074074074,0.02976400788268514
24,864,0.0006964953738994597,-9.889557287551254e-05,0.4837962962962963,0.003412500128091161,5.1740535400468524e-05,0.5023148148148148,0.26120754847711053,-0.09944952095869836,0.49189814814814814,0.03591343701964609
25,864,0.00039488358444468406,-9.478710800903123e-05,0.4826388888888889,0.0034579963402661127,-0.00012048385965995889,0.4965277777777778,0.2311088146127472,-0.12462607504842606,0.4861111111111111,0.03825646764356203
26,864,-0.0008262838070998464,-7.22231891323033e-05,0.4895833333333333,0.003500431392429258,-0.00018359816881585722,0.4965277777777778,0.25560245966565315,-0.099202640141871,0.49074074074074076,0.03595053450942951
27,864,-0.0007457147812530515,-8.399327730118644e-05,0.4849537037037037,-0.0008167370886472943,-0.00011077759379957142,0.49421296296296297,0.05599115082113563,-0.15898469907142976,0.4849537037037037,0.02533777886260718
28,864,-0.001193917997955921,-0.00036738247067347185,0.46412037037037035,-0.0005763861399052226,-0.0009487727912342869,0.4722222222222222,-0.1052465838870818,-0.6395293654658101,0.46412037037037035,0.010664062230106101
29,864,-0.0012855595300373464,-0.0005119965480540611,0.4618055555555556,0.00012036183067268428,-0.0009446757245206161,0.4652777777777778,-0.1348400446469148,-0.7718959651232395,0.46064814814814814,0.0006310338236653214
30,864,-0.0022883969494740604,-0.0005887916816155192,0.4525462962962963,-0.00010216177267126395,-0.0014514963206104237,0.44907407407407407,-0.305517734741854,-1.0967090225810567,0.45601851851851855,-0.009329935434008741
31,864,-0.0013843385526490363,-0.0005998618335576467,0.4479166666666667,0.0014734471180624946,-0.0014811731953359164,0.45023148148148145,-0.3073376427105509,-0.8054558673949676,0.44560185185185186,-0.009454995634229614
