pair_label,pair_label_display,layer,n,mean_cos_org,mean_cos_new,mean_cosine_delta,mean_centered_cos_org,mean_centered_cos_new,mean_centered_cosine_delta,mean_projection,mean_normalized_projection
1,1: new,31,383,0.9283003741068413,0.9415496193771482,0.013249245270307061,0.8545985097080983,0.8831197342306317,0.028521224522533594,2.7381640417033553,0.13507548926003513
2,2: org,0,399,0.9999574508307856,0.9999529715816011,-4.479249184467014e-06,0.9118692950127762,0.902218183880522,-0.00965111113225417,-0.0021129306700053427,-0.05656311933582539
2,2: org,1,399,0.9999046367765905,0.999895028401103,-9.608375487568994e-06,0.9270046798787576,0.9216247265283541,-0.005379953350403453,-0.0028443553708152897,-0.05548150460501049
2,2: org,2,399,0.9998168253502862,0.9997974825638166,-1.9342786469506008e-05,0.9238619662336852,0.918782910128125,-0.0050790561055602135,-0.0038075283325703807,-0.05200664103863169
2,2: org,3,399,0.9993176967448933,0.9992268694595274,-9.082728536602655e-05,0.9444087897358404,0.937491729650708,-0.006917060085132421,-0.03214503701394665,-0.20470484337137254
2,2: org,4,399,0.9989285454241797,0.9988190712914236,-0.00010947413275631438,0.9445930533258678,0.937211125732168,-0.007381927593699893,-0.05113739612205817,-0.24455973540561843
2,2: org,5,399,0.9991412797139995,0.9990424106472382,-9.886906676124256e-05,0.9424650956108511,0.9341026045205822,-0.008362491090268877,-0.05179837877976637,-0.23829898660175036
2,2: org,6,399,0.9990053042616355,0.9988880108113838,-0.0001172934502516449,0.9383721888008544,0.930069964934255,-0.00830222386659933,-0.053035598475140305,-0.24232780407084126
2,2: org,7,399,0.9986197038042722,0.9983591814829426,-0.00026052232132974743,0.9482304899898083,0.9385444282468084,-0.00968606174299983,-0.0881004772375486,-0.2695172462534944
2,2: org,8,399,0.9980345972987003,0.997614636445372,-0.0004199608533282866,0.9485858316389131,0.9381861932572951,-0.010399638381617922,-0.1155592598347641,-0.2732006500868481
2,2: org,9,399,0.9984569876885748,0.9981452916387674,-0.00031169604980736107,0.9485999082833407,0.937954658860061,-0.01064524942327974,-0.11157802944631036,-0.24989343932636718
2,2: org,10,399,0.9983191122044344,0.9980362987471462,-0.0002828134572880954,0.9426561420116979,0.9335548716011879,-0.009101270410510044,-0.09668550261324461,-0.21593980928038548
2,2: org,11,399,0.9975002314864072,0.9973870842932938,-0.00011314719311345752,0.9425136263051566,0.9418598550861191,-0.0006537712190373809,-0.09590715668583881,-0.1658733456582899
2,2: org,12,399,0.9963990304134297,0.9965906084599819,0.00019157804655212227,0.9347476695980173,0.9416346155431228,0.006886945945105468,-0.03138409551920232,-0.0656530642890788
2,2: org,13,399,0.9948691624154122,0.9954201929984619,0.0005510305830495881,0.9240875408113806,0.9361143190745991,0.012026778263218461,0.05395382096449371,0.01805987073930611
2,2: org,14,399,0.9945366131716377,0.9952337943883942,0.0006971812167566516,0.9187769136631148,0.9328666879501194,0.014089774287004642,0.093266883679403,0.05104502366265452
2,2: org,15,399,0.98982448406221,0.9909236082326578,0.0010991241704477466,0.9089156684697797,0.9254339424909666,0.016518274021186916,0.10533833201733771,0.012644525278107254
2,2: org,16,399,0.9857381488898287,0.9884154730788135,0.002677324188984829,0.900479411673741,0.9241502597330581,0.023670848059317125,0.2527728821327776,0.040577985871637134
2,2: org,17,399,0.982218207027731,0.9851882465949122,0.002970039567181223,0.8905282656251698,0.9126463239155562,0.022118058290386364,0.29972055093682687,0.05506337705075371
2,2: org,18,399,0.9768785622567232,0.9799020897634839,0.0030235275067606875,0.87340275077801,0.893771239477942,0.02036848869993211,0.3926651085928991,0.0815421116793468
2,2: org,19,399,0.9742650910717838,0.975777216619212,0.0015121255474281835,0.8863580070355561,0.8950987006742194,0.008740693638663373,0.21376148395269906,0.03702306271021483
2,2: org,20,399,0.9717116360263283,0.9723206884894073,0.0006090524630789389,0.8895554886264522,0.8945852686611236,0.005029780034671447,0.15282384595180776,0.02790346050674028
2,2: org,21,399,0.9690797108158,0.9695290509865583,0.0004493401707582015,0.8886669745730436,0.8924075228617544,0.0037405482887108055,0.20933339875584722,0.038703743047125816
2,2: org,22,399,0.9710542777902752,0.9684310482723447,-0.0026232295179305183,0.8867982284556033,0.8809867104154353,-0.005811518040168076,-0.11495941966814735,0.011050992491170275
2,2: org,23,399,0.9622819571799783,0.9574188124696593,-0.0048631447103190326,0.8947803864286519,0.8834906310814934,-0.011289755347158523,-0.38416636014624644,-0.008023248368804328
2,2: org,24,399,0.9622389426801623,0.9571961122320805,-0.0050428304480819785,0.8939713409939214,0.8835184416604013,-0.010452899333520033,-0.5112068981779191,-0.0034137620274703436
