model,conflict_type_idx,layer,n,mean_delta_norm,median_delta_norm,mean_cos,median_cos,mean_relative_delta,median_relative_delta
Qwen/Qwen3.5-9B,6,12,100,12.904709815979004,12.929643630981445,0.8647010922431946,0.863240122795105,0.5205270648002625,0.5252608060836792
Qwen/Qwen3.5-9B,6,13,100,13.853232383728027,13.867059707641602,0.8573678731918335,0.855530858039856,0.5336118340492249,0.5388742685317993
Qwen/Qwen3.5-9B,6,14,100,15.001489639282227,14.979232788085938,0.8449720740318298,0.8443974852561951,0.5574398636817932,0.5614452362060547
Qwen/Qwen3.5-9B,6,15,100,18.57758903503418,18.310115814208984,0.8281705379486084,0.8263522386550903,0.5856794118881226,0.5902194976806641
Qwen/Qwen3.5-9B,6,16,100,20.597068786621094,20.441877365112305,0.8039312958717346,0.8050870895385742,0.6253579258918762,0.6257027387619019
Qwen/Qwen3.5-9B,6,17,100,22.404438018798828,22.334552764892578,0.7864742875099182,0.7895389199256897,0.6517980098724365,0.6493262052536011
Qwen/Qwen3.5-9B,6,18,100,27.046165466308594,26.506839752197266,0.758069634437561,0.7601123452186584,0.6934267282485962,0.6936647891998291
Qwen/Qwen3.5-9B,6,19,100,33.904296875,33.278221130371094,0.7605762481689453,0.7629337310791016,0.6884998083114624,0.6916371583938599
Qwen/Qwen3.5-9B,6,20,100,39.57615661621094,38.903541564941406,0.7492956519126892,0.750197172164917,0.7051292657852173,0.7094875574111938
Qwen/Qwen3.5-9B,6,21,100,46.252132415771484,46.113433837890625,0.7419142127037048,0.7434526681900024,0.7145524024963379,0.7163313627243042
Qwen/Qwen3.5-9B,6,22,100,53.22126388549805,53.32245635986328,0.7387328147888184,0.7413365840911865,0.7185630798339844,0.7206313014030457
Qwen/Qwen3.5-9B,6,23,100,58.4710693359375,58.56560516357422,0.7460482716560364,0.7494770884513855,0.7072679996490479,0.712722659111023
Qwen/Qwen3.5-9B,6,24,100,64.8335952758789,64.75493621826172,0.7504135966300964,0.745613694190979,0.7002132534980774,0.7163077592849731
Qwen/Qwen3.5-9B,6,25,100,70.33300018310547,69.54583740234375,0.7529430985450745,0.7528197765350342,0.6971773505210876,0.7071033716201782
Qwen/Qwen3.5-9B,6,26,100,76.67986297607422,75.11576080322266,0.7245337963104248,0.7258002758026123,0.7417199611663818,0.7526459693908691
Qwen/Qwen3.5-9B,6,27,100,83.3099594116211,82.69570922851562,0.7776600122451782,0.7845910787582397,0.6597412824630737,0.6648921370506287
Qwen/Qwen3.5-9B,6,28,100,93.49603271484375,93.2725830078125,0.7645388841629028,0.7674242258071899,0.6774292588233948,0.6835924386978149
Qwen/Qwen3.5-9B,6,29,100,102.16426849365234,101.05117797851562,0.7711604833602905,0.7787487506866455,0.6712833642959595,0.6695424318313599
Qwen/Qwen3.5-9B,6,30,100,117.16000366210938,114.75037384033203,0.7366388440132141,0.7433083057403564,0.72086501121521,0.717160165309906
Qwen/Qwen3.5-9B,6,31,100,88.5942611694336,86.55963134765625,0.7013939023017883,0.7146197557449341,0.765869140625,0.7577518224716187
Qwen/Qwen3.5-9B,7,0,100,1.2226502895355225,1.2007266283035278,0.9982960224151611,0.9983804225921631,0.058550648391246796,0.05745012313127518
Qwen/Qwen3.5-9B,7,1,100,1.8124136924743652,1.792677640914917,0.9963414669036865,0.9964434504508972,0.08557650446891785,0.08453088998794556
Qwen/Qwen3.5-9B,7,2,100,2.6570520401000977,2.642765522003174,0.9903308153152466,0.9904459714889526,0.13921420276165009,0.13861879706382751
Qwen/Qwen3.5-9B,7,3,100,3.5562777519226074,3.5810725688934326,0.9868408441543579,0.9867364168167114,0.1621253341436386,0.16380301117897034
Qwen/Qwen3.5-9B,7,4,100,4.551122188568115,4.585390567779541,0.9759088754653931,0.9756699800491333,0.21961554884910583,0.22091779112815857
Qwen/Qwen3.5-9B,7,5,100,5.680206298828125,5.714509010314941,0.9594084024429321,0.9592539072036743,0.28490838408470154,0.2862282991409302
Qwen/Qwen3.5-9B,7,6,100,7.1172943115234375,7.146622180938721,0.9298733472824097,0.9296537637710571,0.3772280812263489,0.37820130586624146
Qwen/Qwen3.5-9B,7,7,100,7.753490447998047,7.761496543884277,0.933704674243927,0.9340825080871582,0.3658730685710907,0.3652016520500183
Qwen/Qwen3.5-9B,7,8,100,8.74343490600586,8.759145736694336,0.9099414944648743,0.9116125106811523,0.4248380959033966,0.4217994213104248
Qwen/Qwen3.5-9B,7,9,100,9.443796157836914,9.443982124328613,0.9020620584487915,0.9023358821868896,0.4438495337963104,0.44364070892333984
Qwen/Qwen3.5-9B,7,10,100,9.838506698608398,9.859231948852539,0.8979990482330322,0.8980281352996826,0.4545065760612488,0.4544905722141266
Qwen/Qwen3.5-9B,7,11,100,10.973189353942871,10.914392471313477,0.9030712246894836,0.9045307636260986,0.4400597810745239,0.43899673223495483
Qwen/Qwen3.5-9B,7,12,100,12.190481185913086,12.232034683227539,0.8828189969062805,0.8822784423828125,0.4831475019454956,0.4861452281475067
Qwen/Qwen3.5-9B,7,13,100,13.161622047424316,13.129487991333008,0.8751415014266968,0.8757312297821045,0.49810683727264404,0.49897831678390503
Qwen/Qwen3.5-9B,7,14,100,14.456642150878906,14.511789321899414,0.8601730465888977,0.8588181734085083,0.5275461077690125,0.5321323871612549
Qwen/Qwen3.5-9B,7,15,100,18.176376342773438,17.993858337402344,0.8385002017021179,0.8457095623016357,0.5657247304916382,0.5571228265762329
Qwen/Qwen3.5-9B,7,16,100,20.27762222290039,19.641826629638672,0.815115213394165,0.8295724391937256,0.6030070781707764,0.5851123332977295
Qwen/Qwen3.5-9B,7,17,100,22.276094436645508,21.76034164428711,0.7954064011573792,0.809618353843689,0.6332513093948364,0.6173223257064819
Qwen/Qwen3.5-9B,7,18,100,26.829923629760742,26.303688049316406,0.7769114971160889,0.7899863719940186,0.6589372754096985,0.6484270095825195
Qwen/Qwen3.5-9B,7,19,100,32.459617614746094,30.843158721923828,0.7861467003822327,0.8156815767288208,0.6414328813552856,0.6073086261749268
Qwen/Qwen3.5-9B,7,20,100,37.825416564941406,36.57337951660156,0.7780325412750244,0.7970690727233887,0.6548930406570435,0.6374174356460571
Qwen/Qwen3.5-9B,7,21,100,44.11891555786133,43.410308837890625,0.7687400579452515,0.7818412780761719,0.6691461205482483,0.6606255173683167
Qwen/Qwen3.5-9B,7,22,100,51.098121643066406,50.97969436645508,0.7713445425033569,0.7798512578010559,0.6644701361656189,0.6638222932815552
Qwen/Qwen3.5-9B,7,23,100,55.974483489990234,56.12517547607422,0.7784061431884766,0.7851576805114746,0.6539735198020935,0.6559712886810303
Qwen/Qwen3.5-9B,7,24,100,61.958274841308594,61.8046875,0.7846120595932007,0.7955671548843384,0.6441392302513123,0.6414217948913574
Qwen/Qwen3.5-9B,7,25,100,67.25750732421875,67.13250732421875,0.7882396578788757,0.7997269630432129,0.6392865180969238,0.6332510709762573
Qwen/Qwen3.5-9B,7,26,100,73.05247497558594,72.583251953125,0.774050772190094,0.782228946685791,0.6651670932769775,0.672299861907959
Qwen/Qwen3.5-9B,7,27,100,79.05816650390625,77.12802124023438,0.8110684156417847,0.8264623880386353,0.6044453382492065,0.5895619988441467
Qwen/Qwen3.5-9B,7,28,100,87.6280288696289,86.98649597167969,0.7998226881027222,0.8098955154418945,0.6213878393173218,0.6168690919876099
Qwen/Qwen3.5-9B,7,29,100,95.27643585205078,93.95639038085938,0.806129515171051,0.8135828971862793,0.6155309081077576,0.6124032735824585
Qwen/Qwen3.5-9B,7,30,100,106.97238159179688,106.55366516113281,0.7765985131263733,0.7858341336250305,0.6602023839950562,0.6601676940917969
Qwen/Qwen3.5-9B,7,31,100,84.1580581665039,82.95294189453125,0.7392734289169312,0.7544203996658325,0.713887631893158,0.7035608291625977
Qwen/Qwen3.5-9B,8,0,94,1.1951005458831787,1.1726282835006714,0.9983615279197693,0.9984511137008667,0.057277221232652664,0.0560939684510231
Qwen/Qwen3.5-9B,8,1,94,1.7907406091690063,1.764182209968567,0.996416449546814,0.9965415000915527,0.0845942273736,0.08354894816875458
Qwen/Qwen3.5-9B,8,2,94,2.640979051589966,2.636263370513916,0.9904329776763916,0.9904487729072571,0.1385585218667984,0.13838177919387817
Qwen/Qwen3.5-9B,8,3,94,3.5968995094299316,3.6406354904174805,0.9865203499794006,0.986314058303833,0.16401170194149017,0.1659703105688095
Qwen/Qwen3.5-9B,8,4,94,4.60811710357666,4.659602642059326,0.9754323959350586,0.9752157330513,0.22170957922935486,0.22298935055732727
Qwen/Qwen3.5-9B,8,5,94,5.727249622344971,5.782235145568848,0.9590957164764404,0.9586656093597412,0.2861029803752899,0.2880220413208008
Qwen/Qwen3.5-9B,8,6,94,7.166862964630127,7.220622539520264,0.928807258605957,0.9281732439994812,0.37990111112594604,0.38219210505485535
Qwen/Qwen3.5-9B,8,7,94,7.824899673461914,7.844084739685059,0.9321906566619873,0.9318858981132507,0.3701329231262207,0.37132108211517334
Qwen/Qwen3.5-9B,8,8,94,8.744352340698242,8.7656888961792,0.9082858562469482,0.9079753160476685,0.42925432324409485,0.4311673045158386
Qwen/Qwen3.5-9B,8,9,94,9.489745140075684,9.547494888305664,0.8995612263679504,0.8990453481674194,0.4506491720676422,0.45327720046043396
Qwen/Qwen3.5-9B,8,10,94,10.007967948913574,10.078840255737305,0.8934853076934814,0.8919618129730225,0.468115895986557,0.4729565382003784
Qwen/Qwen3.5-9B,8,11,94,10.919483184814453,11.086873054504395,0.9009800553321838,0.896359384059906,0.4467087686061859,0.45851463079452515
Qwen/Qwen3.5-9B,8,12,94,12.178937911987305,12.383831977844238,0.8775313496589661,0.8717557191848755,0.4957294762134552,0.5097681879997253
Qwen/Qwen3.5-9B,8,13,94,13.075422286987305,13.31277847290039,0.8716430068016052,0.8670085072517395,0.5060068368911743,0.5157428979873657
Qwen/Qwen3.5-9B,8,14,94,14.316014289855957,14.497623443603516,0.8605226278305054,0.8558046817779541,0.5280728936195374,0.5395293235778809
Qwen/Qwen3.5-9B,8,15,94,17.400531768798828,17.70636749267578,0.8490270376205444,0.8450145721435547,0.5478929281234741,0.5595062375068665
Qwen/Qwen3.5-9B,8,16,94,19.235910415649414,19.63190460205078,0.8301367163658142,0.8240734338760376,0.5799915790557861,0.5933680534362793
Qwen/Qwen3.5-9B,8,17,94,20.90524673461914,21.075580596923828,0.8126346468925476,0.8067983984947205,0.6089582443237305,0.6219272017478943
Qwen/Qwen3.5-9B,8,18,94,25.27878189086914,25.517288208007812,0.79616779088974,0.7920392751693726,0.635170578956604,0.6470012664794922
Qwen/Qwen3.5-9B,8,19,94,30.689149856567383,30.72972869873047,0.8100050091743469,0.8086049556732178,0.610100507736206,0.6196490526199341
Qwen/Qwen3.5-9B,8,20,94,36.09535598754883,36.45878982543945,0.7989282608032227,0.7957515716552734,0.6292313933372498,0.6407314538955688
Qwen/Qwen3.5-9B,8,21,94,41.87818145751953,42.39653396606445,0.7903950214385986,0.7898353338241577,0.6418270468711853,0.6491106152534485
Qwen/Qwen3.5-9B,8,22,94,48.24546432495117,48.66887664794922,0.793354868888855,0.7923663854598999,0.6364514827728271,0.6482453346252441
Qwen/Qwen3.5-9B,8,23,94,52.285743713378906,52.138877868652344,0.804875910282135,0.8029076457023621,0.6177268624305725,0.6296532154083252
Qwen/Qwen3.5-9B,8,24,94,57.668067932128906,57.78351593017578,0.8147347569465637,0.813424825668335,0.6025704741477966,0.6122164726257324
Qwen/Qwen3.5-9B,8,25,94,62.713417053222656,62.15232849121094,0.8198435306549072,0.825605571269989,0.5961399078369141,0.5957483053207397
Qwen/Qwen3.5-9B,8,26,94,69.85359954833984,68.68832397460938,0.8020952343940735,0.8147433400154114,0.6315463781356812,0.6222206950187683
Qwen/Qwen3.5-9B,8,27,94,74.33889770507812,73.5047378540039,0.84502774477005,0.8543692827224731,0.5538183450698853,0.5453845858573914
Qwen/Qwen3.5-9B,8,28,94,83.04531860351562,82.19242858886719,0.8285872936248779,0.8329441547393799,0.580143928527832,0.578040599822998
Qwen/Qwen3.5-9B,8,29,94,90.25045013427734,88.84194946289062,0.836677610874176,0.8427788019180298,0.5701649188995361,0.5649423599243164
Qwen/Qwen3.5-9B,8,30,94,102.99293518066406,100.06432342529297,0.8050569295883179,0.8156063556671143,0.6223872900009155,0.6109719276428223
Qwen/Qwen3.5-9B,8,31,94,77.31664276123047,76.06626892089844,0.78118896484375,0.794636607170105,0.6579464673995972,0.6433241367340088
Qwen/Qwen3.5-9B,9,0,70,1.1561330556869507,1.1572768688201904,0.9984917640686035,0.9984813332557678,0.055281344801187515,0.055343613028526306
Qwen/Qwen3.5-9B,9,1,70,1.7128608226776123,1.7040817737579346,0.996735692024231,0.996799886226654,0.08085677027702332,0.08038155734539032
Qwen/Qwen3.5-9B,9,2,70,2.535548448562622,2.528090000152588,0.9911629557609558,0.9912009835243225,0.13311758637428284,0.13290667533874512
Qwen/Qwen3.5-9B,9,3,70,3.418666362762451,3.374171495437622,0.987824559211731,0.9882401823997498,0.1559414565563202,0.15339142084121704
