held_out_type,n_train,n_test,balanced_accuracy,roc_auc,model_id,target,feature_group
7,709,95,0.5599730458221024,0.632524707996406,Qwen/Qwen3.5-9B,pair_choice,full_geometry
8,712,92,0.5636363636363637,0.5551948051948052,Qwen/Qwen3.5-9B,pair_choice,full_geometry
9,735,69,0.4603174603174603,0.417989417989418,Qwen/Qwen3.5-9B,pair_choice,full_geometry
1,712,92,0.4894235854045479,0.5367530407191962,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
2,717,87,0.500795334040297,0.468186638388123,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
3,714,90,0.5595238095238095,0.5892857142857143,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
4,708,96,0.56575682382134,0.6029776674937964,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
5,715,89,0.45782828282828286,0.44141414141414137,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
6,710,94,0.5441785549930971,0.5931891394385642,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
7,709,95,0.5599730458221024,0.632524707996406,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
8,712,92,0.5636363636363637,0.5551948051948052,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
9,735,69,0.4603174603174603,0.417989417989418,Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type
1,756,100,0.43692416725726435,0.407512402551382,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
2,757,99,0.6182795698924731,0.578853046594982,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
3,756,100,0.5208333333333333,0.6927083333333334,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
4,756,100,0.4375,0.5135869565217391,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
5,760,96,0.35789473684210527,0.5789473684210527,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
6,757,99,0.5444444444444445,0.5765432098765432,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
7,757,99,0.5563127690100431,0.5839311334289814,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
8,763,93,0.5605694980694981,0.5588803088803089,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
9,786,70,0.4013605442176871,0.3323615160349854,Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory
1,756,100,0.41885187810063784,0.4145995747696669,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
2,757,99,0.510752688172043,0.4946236559139785,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
3,756,100,0.7708333333333333,0.8671875,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
4,756,100,0.5217391304347826,0.5149456521739131,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
5,760,96,0.39473684210526316,0.4842105263157894,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
6,757,99,0.5944444444444444,0.6444444444444444,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
7,757,99,0.4691535150645624,0.4935437589670014,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
8,763,93,0.45825289575289574,0.46718146718146714,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
9,786,70,0.4387755102040816,0.35374149659863946,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry
1,756,100,0.41885187810063784,0.4145995747696669,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
2,757,99,0.510752688172043,0.4946236559139785,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
3,756,100,0.7708333333333333,0.8671875,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
4,756,100,0.5217391304347826,0.5149456521739131,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
5,760,96,0.39473684210526316,0.4842105263157894,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
6,757,99,0.5944444444444444,0.6444444444444444,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
7,757,99,0.4691535150645624,0.4935437589670014,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
8,763,93,0.45825289575289574,0.46718146718146714,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
9,786,70,0.4387755102040816,0.35374149659863946,Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type
