layer,metric,spearman_r,p_value,n
19,endpoint_relative_hidden,0.82188823546485,7.118460846988683e-213,864
20,position_t,0.6045786568489332,3.127817236904762e-87,864
20,signed_margin,0.6045786568489332,3.127817236904762e-87,864
20,log_offaxis_ratio,0.7913235074135347,2.2207644645784885e-186,864
20,offaxis_fraction,0.4174803209964195,9.199994218481562e-38,864
20,endpoint_relative_hidden,0.8467387219234183,1.771116135449551e-238,864
21,position_t,0.604052810504796,4.819695252242884e-87,864
21,signed_margin,0.604052810504796,4.819695252242884e-87,864
21,log_offaxis_ratio,0.797595875837525,1.9266940671139728e-191,864
21,offaxis_fraction,0.4257274924071084,2.3566652839052427e-39,864
21,endpoint_relative_hidden,0.8564647861747975,8.99993986594665e-250,864
22,position_t,0.617606224198867,5.356478856134861e-92,864
22,signed_margin,0.617606224198867,5.356478856134861e-92,864
22,log_offaxis_ratio,0.8026814944805019,1.115985879414034e-195,864
22,offaxis_fraction,0.4447364944767807,3.4038694051265316e-43,864
22,endpoint_relative_hidden,0.8692265744133137,6.323661094871921e-266,864
23,position_t,0.6361868725771029,3.3907577108347148e-99,864
23,signed_margin,0.6361868725771029,3.3907577108347148e-99,864
23,log_offaxis_ratio,0.7948588626402945,3.2755037948618407e-189,864
23,offaxis_fraction,0.44501741843920956,2.9742035157961814e-43,864
23,endpoint_relative_hidden,0.8721100312497442,8.216278228843181e-270,864
24,position_t,0.6415575083854844,2.2713721008967027e-101,864
24,signed_margin,0.6415575083854844,2.2713721008967027e-101,864
24,log_offaxis_ratio,0.8031294955462229,4.660817693693312e-196,864
24,offaxis_fraction,0.4550829022446381,2.1731948388566178e-45,864
24,endpoint_relative_hidden,0.8753354938002859,2.843977453568125e-274,864
25,position_t,0.6427167778901547,7.608348796897737e-102,864
25,signed_margin,0.6427167778901547,7.608348796897737e-102,864
25,log_offaxis_ratio,0.8074312844247672,9.479204101598372e-200,864
25,offaxis_fraction,0.46846806669092816,2.4175073483011843e-48,864
25,endpoint_relative_hidden,0.877449502899104,2.9000711429727204e-277,864
26,position_t,0.581028990296132,3.7431966757397596e-79,864
26,signed_margin,0.581028990296132,3.7431966757397596e-79,864
26,log_offaxis_ratio,0.7947133678799664,4.294306260959378e-189,864
26,offaxis_fraction,0.42645104045498555,1.700409525266284e-39,864
26,endpoint_relative_hidden,0.8753260050115688,2.9324485695588094e-274,864
27,position_t,0.6156844467961756,2.79295806135121e-91,864
27,signed_margin,0.6156844467961756,2.79295806135121e-91,864
27,log_offaxis_ratio,0.8012452081616979,1.8063320944344523e-194,864
