model_id,layer,n,mean_position_t,median_position_t,fraction_new_side,fraction_outside_segment,mean_log_offaxis_ratio,median_offaxis_ratio,mean_offaxis_fraction,mean_midpoint_distance_ratio,median_midpoint_distance_ratio,mean_log_midpoint_distance_ratio,mean_endpoint_relative_hidden
Qwen/Qwen3.5-4B,26,864,0.45522662015848914,0.4151096694337596,0.42476851851851855,0.1909722222222222,0.6569348298717769,0.741469666472016,0.8806814537446613,1.2208102533302296,0.795036817699684,0.708383191255377,0.2093019370530799
Qwen/Qwen3.5-4B,27,864,0.45248858808721665,0.41767860034596843,0.4212962962962963,0.19907407407407407,0.646225706530048,0.7190875960241827,0.8795930233953569,1.1823248579175754,0.7780560657365336,0.6981727885933928,0.24235725950596052
Qwen/Qwen3.5-4B,28,864,0.45575369273746347,0.4083670016771944,0.4131944444444444,0.1909722222222222,0.6675789860814246,0.7524373893115076,0.887756885703671,1.2299033159849786,0.8077590090976028,0.7156241639686584,0.23327594511474428
Qwen/Qwen3.5-4B,29,864,0.4571909973637745,0.41104727763657034,0.41898148148148145,0.1863425925925926,0.6732177632647269,0.7652855749279173,0.8900195100433237,1.2422097913444485,0.8168375360681318,0.7202328444053747,0.24239922486622623
Qwen/Qwen3.5-4B,30,864,0.4647214298491612,0.42575319246954785,0.4363425925925926,0.1863425925925926,0.6923725559538525,0.7963161107349888,0.8963933348928023,1.2930859456250015,0.8474031686752819,0.7367260610784966,0.24463447958994672
Qwen/Qwen3.5-4B,31,864,0.474329201383392,0.44418014143465334,0.4537037037037037,0.17592592592592593,0.6905189247883221,0.8014021553326014,0.8952860383675146,1.2848203946823116,0.8477395367443765,0.7354981797551424,0.2679762365183283
Qwen/Qwen3.5-9B,0,864,0.5178810021129057,0.5076643639565352,0.5057870370370371,0.2199074074074074,0.8497208876918777,1.1229154163822024,0.9247661991244855,35650622.81123627,1.1949298802225314,0.8860765190792366,0.008245908120265271
Qwen/Qwen3.5-9B,1,864,0.5182313517665791,0.53012569329059,0.5266203703703703,0.17592592592592593,0.8127430784716935,1.1522588533989844,0.9407743863563167,1.4638635741409247,1.2088841677741489,0.8417769817127365,0.011876328160305108
Qwen/Qwen3.5-9B,2,864,0.52140075142255,0.5153312953500997,0.5162037037037037,0.1597222222222222,0.8015953272106384,1.1669047906245202,0.9427164687555142,1.399184036614513,1.2272603824345754,0.8299405790463203,0.01631753132737739
Qwen/Qwen3.5-9B,3,864,0.4160856213451838,0.39896336040195846,0.37962962962962965,0.1597222222222222,0.7294875495219002,0.9927941211129357,0.926897531653441,1.2399056938359843,1.0507650718940904,0.764151318652961,0.03350767895524688
Qwen/Qwen3.5-9B,4,864,0.40904505438994054,0.38498549513811575,0.36342592592592593,0.13078703703703703,0.7223576827813626,0.9845918280995503,0.9298888121487352,1.2110045328147478,1.043621299509141,0.7549336018522632,0.04151445640799367
Qwen/Qwen3.5-9B,5,864,0.41281808212689614,0.3934129775805,0.3680555555555556,0.12268518518518519,0.7227058199310109,0.9938631197817989,0.9323247651569205,1.203329983362141,1.0509184438450707,0.7541914569708611,0.03751570796104067
Qwen/Qwen3.5-9B,6,864,0.41855310464341755,0.40466550297883114,0.38078703703703703,0.10416666666666667,0.7347085749624168,1.045047732601137,0.9361103626585291,1.2229168814786886,1.0844086887332351,0.7644124546945519,0.03977768233468145
Qwen/Qwen3.5-9B,7,864,0.3977549270875965,0.3545031437143936,0.3414351851851852,0.07291666666666667,0.6493304967888326,0.849889405571654,0.9301174019138868,1.0330085886883729,0.8971448019909749,0.6796702070855211,0.05465965469722507
Qwen/Qwen3.5-9B,8,864,0.3952734616916036,0.35405030309671787,0.33564814814814814,0.07060185185185185,0.6424949827421044,0.8375961524949045,0.9293271906802923,1.017454001974265,0.8915439114080603,0.6730381210690207,0.06605807675042505
Qwen/Qwen3.5-9B,9,864,0.40666116191680846,0.3717707362991642,0.34375,0.059027777777777776,0.6378345982369391,0.837392014018179,0.9312622487179374,1.0045310808607735,0.8764976030566838,0.6673618978142825,0.05940402488261
Qwen/Qwen3.5-9B,10,864,0.4247514581975396,0.4013896047474419,0.36921296296296297,0.05439814814814815,0.6600335320305393,0.8759971787876284,0.9370381901955733,1.047811542367671,0.91995887481119,0.6873906127969934,0.060433248600415296
Qwen/Qwen3.5-9B,11,864,0.4272861576720597,0.4085487014253619,0.3611111111111111,0.03587962962962963,0.5827093770769252,0.7108686468082146,0.9298098697695034,0.8928166437198565,0.7506590076944852,0.6109937326946806,0.07833607158981272
Qwen/Qwen3.5-9B,12,864,0.4712172934063419,0.45542942464040703,0.43287037037037035,0.027777777777777776,0.589855418627265,0.7180405418506969,0.9343790414232421,0.9058616361323746,0.7588320384504852,0.6164034712489661,0.09096604250358684
Qwen/Qwen3.5-9B,13,864,0.5120498241396103,0.4988158521287803,0.4988425925925926,0.03935185185185185,0.6397659531314771,0.823341257355902,0.9401916650215711,1.0104410706765572,0.8584364664950357,0.664729689962595,0.10131963880383256
Qwen/Qwen3.5-9B,14,864,0.5264294396220668,0.5139183872505995,0.5185185185185185,0.05092592592592592,0.6577864673774009,0.8611303763938432,0.9415218864479498,1.049765532654602,0.8936636716278585,0.6826148450283601,0.1013123502859212
Qwen/Qwen3.5-9B,15,864,0.4876037916384885,0.47153406699656125,0.46064814814814814,0.047453703703703706,0.5700310816335287,0.6726237594560618,0.9202423628194855,0.8994175881622117,0.7059539451437176,0.6018422882921735,0.15054316921411626
Qwen/Qwen3.5-9B,16,864,0.4972796811948229,0.48302305508082954,0.48148148148148145,0.04976851851851852,0.574885147493751,0.6753021726173885,0.9157423500701992,0.9130433907644525,0.7154124045941662,0.6083075056950968,0.1725388573349353
