model_id,conflict_type_idx,stage,n,mean_position_t,fraction_new_side,mean_log_offaxis_ratio,mean_offaxis_fraction,mean_oriented_position
Qwen/Qwen3.5-9B,5,late_22_31,100,0.4843236487276467,0.42,0.6537177829185481,0.8933883747373421,0.44217135111653344
Qwen/Qwen3.5-9B,5,middle_10_21,100,0.4778786742475421,0.43,0.46483476771437354,0.8738300545923146,0.46316117444183325
Qwen/Qwen3.5-9B,6,early_00_09,100,0.3713302415431267,0.35,0.5824747272418356,0.9007281510849959,0.5360172532660359
Qwen/Qwen3.5-9B,6,late_22_31,100,0.43603786465033173,0.35,0.580477993771362,0.8920444309613632,0.6394261954458036
Qwen/Qwen3.5-9B,6,middle_10_21,100,0.38675906144273303,0.31,0.5365967377357288,0.9098354661702637,0.5657891306281179
Qwen/Qwen3.5-9B,7,early_00_09,100,0.46043120354577716,0.46,0.7479150559960233,0.9538412236010833,0.5277111387904898
Qwen/Qwen3.5-9B,7,late_22_31,100,0.6888603475708792,0.78,0.5853038084402286,0.8922426529485414,0.501794611722942
Qwen/Qwen3.5-9B,7,middle_10_21,100,0.6724084308743277,0.78,0.5610165986395783,0.9072854097953906,0.5056644596607657
Qwen/Qwen3.5-9B,8,early_00_09,94,0.6121911475219173,0.648936170212766,0.6794549072540953,0.9150504199890687,0.6125734932254515
Qwen/Qwen3.5-9B,8,late_22_31,94,0.673054403815278,0.648936170212766,0.6591217524595994,0.906768391144993,0.6013119355682245
Qwen/Qwen3.5-9B,8,middle_10_21,94,0.6224715953562425,0.648936170212766,0.6280696374964657,0.9226451635439795,0.5917090071067361
Qwen/Qwen3.5-9B,9,early_00_09,70,0.4228460330184185,0.2857142857142857,0.6022775667779574,0.9555487160759717,0.4351483221605572
Qwen/Qwen3.5-9B,9,late_22_31,70,0.3804486133029777,0.24285714285714285,0.4721250358006878,0.85365597314498,0.362540383376165
Qwen/Qwen3.5-9B,9,middle_10_21,70,0.3153300827611322,0.14285714285714285,0.4686414185449069,0.8859598424701544,0.32301121340508737
