model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,3,6,position_t,93,0.6263157894736843
Qwen/Qwen3.5-4B,3,6,log_offaxis_ratio,93,0.6607655502392344
Qwen/Qwen3.5-4B,3,6,offaxis_fraction,93,0.6334928229665072
Qwen/Qwen3.5-4B,3,7,position_t,90,0.46875
Qwen/Qwen3.5-4B,3,7,log_offaxis_ratio,90,0.5054563492063492
Qwen/Qwen3.5-4B,3,7,offaxis_fraction,90,0.46378968253968256
Qwen/Qwen3.5-4B,3,8,position_t,93,0.6200897867564534
Qwen/Qwen3.5-4B,3,8,log_offaxis_ratio,93,0.47530864197530864
Qwen/Qwen3.5-4B,3,8,offaxis_fraction,93,0.4910213243546577
Qwen/Qwen3.5-4B,3,9,position_t,69,0.6307692307692307
Qwen/Qwen3.5-4B,3,9,log_offaxis_ratio,69,0.2884615384615385
Qwen/Qwen3.5-4B,3,9,offaxis_fraction,69,0.46153846153846156
Qwen/Qwen3.5-4B,4,1,position_t,95,0.6128254580520733
Qwen/Qwen3.5-4B,4,1,log_offaxis_ratio,95,0.5347155255544841
Qwen/Qwen3.5-4B,4,1,offaxis_fraction,95,0.5043394406943105
Qwen/Qwen3.5-4B,4,2,position_t,89,0.6111111111111112
Qwen/Qwen3.5-4B,4,2,log_offaxis_ratio,89,0.4153439153439154
Qwen/Qwen3.5-4B,4,2,offaxis_fraction,89,0.43756613756613755
Qwen/Qwen3.5-4B,4,3,position_t,88,0.5218002812939522
Qwen/Qwen3.5-4B,4,3,log_offaxis_ratio,88,0.6343178621659635
Qwen/Qwen3.5-4B,4,3,offaxis_fraction,88,0.47257383966244726
Qwen/Qwen3.5-4B,4,4,position_t,91,0.4973876698014629
Qwen/Qwen3.5-4B,4,4,log_offaxis_ratio,91,0.5924764890282131
Qwen/Qwen3.5-4B,4,4,offaxis_fraction,91,0.49634273772204807
Qwen/Qwen3.5-4B,4,5,position_t,84,0.5113378684807256
Qwen/Qwen3.5-4B,4,5,log_offaxis_ratio,84,0.6201814058956916
