model_id,stage,conflict_type_idx,metric,n,new_rate,roc_auc
Qwen/Qwen3.5-9B,middle_10_21,5,log_offaxis_ratio,89,0.5056179775280899,0.6085858585858587
Qwen/Qwen3.5-9B,middle_10_21,5,offaxis_fraction,89,0.5056179775280899,0.6378787878787879
Qwen/Qwen3.5-9B,middle_10_21,6,position_t,94,0.5638297872340425,0.7004141739530603
Qwen/Qwen3.5-9B,middle_10_21,6,log_offaxis_ratio,94,0.5638297872340425,0.5734008283479062
Qwen/Qwen3.5-9B,middle_10_21,6,offaxis_fraction,94,0.5638297872340425,0.655315232397607
Qwen/Qwen3.5-9B,middle_10_21,7,position_t,95,0.5578947368421052,0.4672057502246182
Qwen/Qwen3.5-9B,middle_10_21,7,log_offaxis_ratio,95,0.5578947368421052,0.4222821203953279
Qwen/Qwen3.5-9B,middle_10_21,7,offaxis_fraction,95,0.5578947368421052,0.4649595687331537
Qwen/Qwen3.5-9B,middle_10_21,8,position_t,92,0.7608695652173914,0.5863636363636364
Qwen/Qwen3.5-9B,middle_10_21,8,log_offaxis_ratio,92,0.7608695652173914,0.5727272727272728
Qwen/Qwen3.5-9B,middle_10_21,8,offaxis_fraction,92,0.7608695652173914,0.49090909090909096
Qwen/Qwen3.5-9B,middle_10_21,9,position_t,69,0.9130434782608695,0.26455026455026454
Qwen/Qwen3.5-9B,middle_10_21,9,log_offaxis_ratio,69,0.9130434782608695,0.3756613756613757
Qwen/Qwen3.5-9B,middle_10_21,9,offaxis_fraction,69,0.9130434782608695,0.44179894179894175
